step,kv_cache_seq_len,predicted_step_time_s
1,4096,0.00020401461576470572
2,4097,0.00020406442402050767
3,4098,0.0002041142322763096
4,4099,0.00020416404053211153
5,4100,0.00020421384878791345
6,4101,0.00020426365704371538
7,4102,0.0002043134652995173
8,4103,0.00020436327355531923
9,4104,0.00020441308181112116
10,4105,0.00020446289006692311
11,4106,0.00020451269832272504
12,4107,0.00020456250657852697
13,4108,0.0002046123148343289
14,4109,0.00020466212309013082
15,4110,0.00020471193134593275
16,4111,0.00020476173960173467
17,4112,0.0002048115478575366
18,4113,0.00020486135611333853
19,4114,0.00020491116436914048
20,4115,0.0002049609726249424
21,4116,0.00020501078088074433
22,4117,0.00020506058913654626
23,4118,0.00020511039739234821
24,4119,0.00020516020564815011
25,4120,0.00020521001390395204
26,4121,0.00020525982215975397
27,4122,0.00020530963041555592
28,4123,0.00020535943867135785
29,4124,0.00020540924692715977
30,4125,0.0002054590551829617
31,4126,0.00020550886343876366
32,4127,0.00020555867169456555
33,4128,0.00020560847995036748
34,4129,0.0002056582882061694
35,4130,0.00020570809646197136
36,4131,0.0002057579047177733
37,4132,0.00020580771297357522
38,4133,0.00020585752122937714
39,4134,0.0002059073294851791
40,4135,0.00020595713774098102
41,4136,0.00020600694599678292
42,4137,0.00020605675425258485
43,4138,0.0002061065625083868
44,4139,0.00020615637076418873
45,4140,0.00020620617901999066
46,4141,0.00020625598727579258
47,4142,0.00020630579553159454
48,4143,0.00020635560378739646
49,4144,0.00020640541204319836
50,4145,0.0002064552202990003
51,4146,0.00020650502855480224
52,4147,0.00020655483681060417
53,4148,0.0002066046450664061
54,4149,0.00020665445332220802
55,4150,0.00020670426157800995
56,4151,0.0002067540698338119
57,4152,0.00020680387808961383
58,4153,0.00020685368634541573
59,4154,0.00020690349460121768
60,4155,0.0002069533028570196
61,4156,0.00020700311111282154
62,4157,0.00020705291936862346
63,4158,0.0002071027276244254
64,4159,0.00020715253588022734
65,4160,0.00020720234413602927
66,4161,0.00020725215239183117
67,4162,0.00020730196064763312
68,4163,0.00020735176890343505
69,4164,0.00020740157715923698
70,4165,0.0002074513854150389
71,4166,0.00020750119367084083
72,4167,0.00020755100192664278
73,4168,0.0002076008101824447
74,4169,0.00020765061843824664
75,4170,0.00020770042669404854
76,4171,0.0002077502349498505
77,4172,0.00020780004320565242
78,4173,0.00020784985146145434
79,4174,0.00020789965971725627
80,4175,0.00020794946797305822
81,4176,0.00020799927622886015
82,4177,0.00020804908448466208
83,4178,0.00020809889274046398
84,4179,0.00020814870099626593
85,4180,0.00020819850925206786
86,4181,0.00020824831750786978
87,4182,0.0002082981257636717
88,4183,0.00020834793401947366
89,4184,0.0002083977422752756
90,4185,0.00020844755053107752
91,4186,0.00020849735878687944
92,4187,0.00020854716704268137
93,4188,0.0002085969752984833
94,4189,0.00020864678355428522
95,4190,0.00020869659181008715
96,4191,0.0002087464000658891
97,4192,0.00020879620832169103
98,4193,0.00020884601657749296
99,4194,0.00020889582483329488
100,4195,0.0002089456330890968
101,4196,0.00020899544134489874
102,4197,0.00020904524960070066
103,4198,0.0002090950578565026
104,4199,0.00020914486611230455
105,4200,0.00020919467436810647
106,4201,0.0002092444826239084
107,4202,0.00020929429087971033
108,4203,0.00020934409913551225
109,4204,0.00020939390739131418
110,4205,0.0002094437156471161
111,4206,0.00020949352390291803
112,4207,0.00020954333215871996
113,4208,0.0002095931404145219
114,4209,0.00020964294867032384
115,4210,0.00020969275692612577
116,4211,0.0002097425651819277
117,4212,0.00020979237343772962
118,4213,0.00020984218169353155
119,4214,0.00020989198994933347
120,4215,0.0002099417982051354
121,4216,0.00020999160646093735
122,4217,0.00021004141471673928
123,4218,0.0002100912229725412
124,4219,0.00021014103122834313
125,4220,0.00021019083948414509
126,4221,0.00021024064773994699
127,4222,0.0002102904559957489
128,4223,0.00021034026425155084
129,4224,0.0002103900725073528
130,4225,0.00021043988076315472
131,4226,0.00021048968901895665
132,4227,0.00021053949727475857
133,4228,0.00021058930553056053
134,4229,0.00021063911378636243
135,4230,0.00021068892204216435
136,4231,0.00021073873029796628
137,4232,0.00021078853855376823
138,4233,0.00021083834680957016
139,4234,0.0002108881550653721
140,4235,0.000210937963321174
141,4236,0.00021098777157697597
142,4237,0.0002110375798327779
143,4238,0.0002110873880885798
144,4239,0.00021113719634438172
145,4240,0.00021118700460018367
146,4241,0.0002112368128559856
147,4242,0.00021128662111178753
148,4243,0.00021133642936758945
149,4244,0.0002113862376233914
150,4245,0.00021143604587919333
151,4246,0.00021148585413499523
152,4247,0.00021153566239079716
153,4248,0.00021158547064659911
154,4249,0.00021163527890240104
155,4250,0.00021168508715820297
156,4251,0.0002117348954140049
157,4252,0.00021178470366980682
158,4253,0.00021183451192560877
159,4254,0.0002118843201814107
160,4255,0.0002119341284372126
161,4256,0.00021198393669301455
162,4257,0.00021203374494881648
163,4258,0.0002120835532046184
164,4259,0.00021213336146042033
165,4260,0.00021218316971622226
166,4261,0.00021223297797202421
167,4262,0.00021228278622782614
