op_index,op_name,op_kind,op_time,analysis,flops,memory_bytes_total,arithmetic_intensity,input_shape,output_shape
44,aten.mul.Tensor,builtin,3.702784e-06,memory_bound,14680064.0,29622272,0.49557522123893805,"[1, 56, 4096, 64]","[1, 56, 4096, 64]"
45,aten.slice.Tensor,builtin,2.752512e-06,memory_bound,0.0,22020096,0.0,"[1, 56, 4096, 64]","[1, 56, 4096, 32]"
46,aten.slice.Tensor,builtin,2.752512e-06,memory_bound,0.0,22020096,0.0,"[1, 56, 4096, 64]","[1, 56, 4096, 32]"
47,aten.neg.default,builtin,1.835008e-06,memory_bound,7340032.0,14680064,0.5,"[1, 56, 4096, 32]","[1, 56, 4096, 32]"
48,aten.stack.default,builtin,3.670016e-06,memory_bound,0.0,29360128,0.0,"[1, 56, 4096, 32]","[1, 56, 4096, 32, 2]"
49,aten.mul.Tensor,builtin,3.702784e-06,memory_bound,14680064.0,29622272,0.49557522123893805,"[1, 56, 4096, 64]","[1, 56, 4096, 64]"
50,aten.add.Tensor,builtin,5.505024e-06,memory_bound,14680064.0,44040192,0.3333333333333333,"[1, 56, 4096, 64]","[1, 56, 4096, 64]"
51,aten.bmm.default,builtin,0.000121110528,memory_bound,120259084288.0,968884224,124.12121212121212,"[56, 4096, 64]","[56, 4096, 4096]"
52,aten.bmm.default,builtin,0.000121110528,memory_bound,120259084288.0,968884224,124.12121212121212,"[56, 4096, 64]","[56, 4096, 4096]"
53,aten.add.Tensor,builtin,0.000352321536,memory_bound,939524096.0,2818572288,0.3333333333333333,"[1, 56, 4096, 4096]","[1, 56, 4096, 4096]"
54,aten.div.Tensor,builtin,0.000234881024,memory_bound,939524096.0,1879048192,0.5,"[1, 56, 4096, 4096]","[1, 56, 4096, 4096]"
55,aten._softmax.default,builtin,0.000234881024,memory_bound,4697620480.0,1879048192,2.5,"[1, 56, 4096, 4096]","[1, 56, 4096, 4096]"
56,aten.bmm.default,builtin,0.000124780544,memory_bound,240518168576.0,998244352,240.94117647058823,"[56, 4096, 4096]","[56, 4096, 128]"
57,aten.addmm.default,builtin,4.20906795008e-05,compute_bound,420906795008.0,39453568,10668.408875161811,[7168],"[4096, 7168]"
58,aten.add.Tensor,builtin,1.1010048e-05,memory_bound,29360128.0,88080384,0.3333333333333333,"[1, 4096, 7168]","[1, 4096, 7168]"
59,aten.native_layer_norm.default,builtin,7.341824e-06,memory_bound,205520896.0,58734592,3.4991457163778374,"[1, 4096, 7168]","[1, 4096, 7168]"
60,aten.addmm.default,builtin,6.576668672e-07,compute_bound,6576668672.0,3709960,1772.70608631899,[8],"[4096, 8]"
61,aten._softmax.default,builtin,8.192e-09,memory_bound,163840.0,65536,2.5,"[1, 4096, 8]","[1, 4096, 8]"
62,aten.topk.default,builtin,6.144e-09,memory_bound,8192.0,49152,0.16666666666666666,"[1, 4096, 8]","[1, 4096, 2]"
63,aten.zeros_like.default,builtin,4.096e-09,memory_bound,0.0,32768,0.0,"[1, 4096, 8]","[1, 4096, 8]"
64,aten.scatter.src,builtin,1.024e-08,memory_bound,32768.0,81920,0.4,"[1, 4096, 8]","[1, 4096, 8]"
65,aten.addmm.default,builtin,4.20906795008e-05,compute_bound,420906795008.0,55314688,7609.313370944079,[18432],"[4096, 18432]"
66,aten.silu.default,builtin,1.8874368e-05,memory_bound,603979776.0,150994944,4.0,"[1, 4096, 18432]","[1, 4096, 18432]"
67,aten.addmm.default,builtin,4.20906795008e-05,compute_bound,420906795008.0,55314688,7609.313370944079,[18432],"[4096, 18432]"
68,aten.mul.Tensor,builtin,2.8311552e-05,memory_bound,75497472.0,226492416,0.3333333333333333,"[1, 4096, 18432]","[1, 4096, 18432]"
69,custom.fc2.default,custom,1.35291469824e-05,compute_bound,135291469824.0,55319552,2445.6356736945377,"[1, 4096, 18432]","[1, 4096, 7168]"
70,aten.unsqueeze.default,builtin,1.024e-09,memory_bound,0.0,8192,0.0,"[1, 4096]","[1, 4096, 1]"
71,aten.mul.Tensor,builtin,7.340544e-06,memory_bound,29360128.0,58724352,0.4999651252005301,"[1, 4096, 7168]","[1, 4096, 7168]"
72,aten.addmm.default,builtin,4.20906795008e-05,compute_bound,420906795008.0,55314688,7609.313370944079,[18432],"[4096, 18432]"
73,aten.silu.default,builtin,1.8874368e-05,memory_bound,603979776.0,150994944,4.0,"[1, 4096, 18432]","[1, 4096, 18432]"
74,aten.addmm.default,builtin,4.20906795008e-05,compute_bound,420906795008.0,55314688,7609.313370944079,[18432],"[4096, 18432]"
75,aten.mul.Tensor,builtin,2.8311552e-05,memory_bound,75497472.0,226492416,0.3333333333333333,"[1, 4096, 18432]","[1, 4096, 18432]"
76,custom.fc2.default,custom,1.35291469824e-05,compute_bound,135291469824.0,55319552,2445.6356736945377,"[1, 4096, 18432]","[1, 4096, 7168]"
77,aten.unsqueeze.default,builtin,1.024e-09,memory_bound,0.0,8192,0.0,"[1, 4096]","[1, 4096, 1]"
78,aten.mul.Tensor,builtin,7.340544e-06,memory_bound,29360128.0,58724352,0.4999651252005301,"[1, 4096, 7168]","[1, 4096, 7168]"
79,aten.stack.default,builtin,1.4680064e-05,memory_bound,0.0,117440512,0.0,"[1, 4096, 7168]","[1, 4096, 2, 7168]"
80,aten.sum.dim_IntList,builtin,1.1010048e-05,memory_bound,29360128.0,88080384,0.3333333333333333,"[1, 4096, 2, 7168]","[1, 4096, 7168]"
81,aten.add.Tensor,builtin,1.1010048e-05,memory_bound,29360128.0,88080384,0.3333333333333333,"[1, 4096, 7168]","[1, 4096, 7168]"
82,aten.native_layer_norm.default,builtin,7.341824e-06,memory_bound,205520896.0,58734592,3.4991457163778374,"[1, 4096, 7168]","[1, 4096, 7168]"
